change_point_date,change_point_index,mean_before,mean_after,mean_change_absolute,mean_change_percent,variance_before,variance_after,variance_change_percent,volatility_before,volatility_after,volatility_change_percent,t_statistic,p_value,effect_size_cohens_d,mean_diff_ci_lower,mean_diff_ci_upper,statistical_significance
1996-01-22,2210,18.298321266968326,58.2091427731216,39.91082150615327,218.1119290882672,14.90153249067472,1035.157783015054,6846.65319599074,0.35777926341313826,0.4195893213098483,17.27603140189154,-100.10623207929561,0.0,1.424485815724516,39.12930888780119,40.69233412450535,Significant
1996-04-02,2261,18.306187527642635,58.508056296296296,40.20186876865366,219.60808993105854,14.61404687455234,1031.0479383462152,6955.184283975403,0.3566294670029577,0.4203381631672728,17.864114454621525,-100.75328032481947,0.0,1.4431024738393714,39.419712573904775,40.98402496340255,Significant
1996-06-24,2316,18.335431778929188,58.828201643017174,40.49276986408799,220.84437580914616,14.34449290203934,1026.9240909990713,7059.012856098068,0.3589046707797299,0.42016339388878415,17.068243490943733,-101.36493624483563,0.0,1.4623701070827653,39.709707815525114,41.275831912650865,Significant
1996-09-04,2367,18.370891423743135,59.12639524382902,40.75550382008589,221.84826462700747,14.109863997927262,1023.1272232072993,7151.148723741041,0.3577492315702527,0.4209452384463466,17.66488962078564,-101.90349417379588,0.0,1.480176936726427,39.97152625817608,41.53948138199571,Significant
1996-12-09,2435,18.509067761806982,59.496668187347936,40.987600425540954,221.44605526874716,14.405578465003822,1020.3016303117847,6982.684203140148,0.35718534875701713,0.42172424594971675,18.068741457982803,-102.12763356742927,0.0,1.4981200357180717,40.200888619755865,41.77431223132604,Significant
1997-02-25,2486,18.598354786806112,59.78301302681993,41.18465824001382,221.44248086519292,14.528256245906654,1017.689383225612,6904.896981441572,0.3560478963723838,0.42255926422200263,18.68045522169181,-102.38360992707887,0.0,1.5129744405848722,40.39614049583862,41.97317598418901,Significant
1997-07-29,2591,18.589328444615976,60.46023676012461,41.87090831550863,225.24164033282057,13.974705340345032,1005.8177687864348,7097.4166487978455,0.3535136843755081,0.4244193424125492,20.057401218370916,-104.00888896461612,0.0,1.5597083626657846,41.08177865439517,42.660037976622085,Significant
1997-10-21,2649,18.59693469233673,60.838791260609874,42.24185656827314,227.14418944364962,13.688736144147194,999.1168682604614,7198.8247982824,0.3517969847937222,0.4256045440266729,20.980156858430195,-104.88214101929154,0.0,1.5858988052701297,41.45236427335875,43.03134886318754,Significant
1998-01-06,2700,18.590492592592593,61.18290920614799,42.5924166135554,229.10859624304095,13.461550739107762,992.405297240408,7272.146912891145,0.35083779197597403,0.4264736519097873,21.558640962770895,-105.74476407234691,0.0,1.6108500172853188,41.802866224683186,43.381967002427615,Significant
1998-05-08,2785,18.448412926391384,61.82795374237071,43.379540815979325,235.13968919203182,13.723991230292619,975.0440447117554,7004.668229163286,0.35692979429465443,0.4251509558269079,19.113327781186896,-107.93193295663835,0.0,1.66601467259333,42.591694627663756,44.167387004294895,Significant
